# Count	Angle
1.000000000000000000e+00 3.909563966330834890e-05
3.000000000000000000e+00 1.231512649394213136e-04
5.000000000000000000e+00 2.247999280640230113e-04
7.000000000000000000e+00 3.284033731717901335e-04
9.000000000000000000e+00 3.704311858098466260e-04
1.100000000000000000e+01 4.046398705152414203e-04
1.300000000000000000e+01 4.926050597576852545e-04
1.500000000000000000e+01 5.287685264462454191e-04
1.700000000000000000e+01 6.059824147812794453e-04
1.900000000000000000e+01 6.597389193183283767e-04
2.100000000000000000e+01 7.007893409648022383e-04
2.300000000000000000e+01 7.819127932661670052e-04
2.500000000000000000e+01 8.151440869799791685e-04
2.700000000000000000e+01 9.314536149783214690e-04
2.900000000000000000e+01 1.043853579010332920e-03
3.100000000000000000e+01 1.199258746671983712e-03
3.300000000000000000e+01 1.385940426064281080e-03
3.500000000000000000e+01 1.525707337860608475e-03
3.700000000000000000e+01 1.773964649722616473e-03
3.900000000000000000e+01 1.942075900274842443e-03
4.100000000000000000e+01 2.307620131126775481e-03
4.300000000000000000e+01 2.577380044803602877e-03
4.500000000000000000e+01 3.069007713569705392e-03
4.700000000000000000e+01 3.403275432690991854e-03
4.900000000000000000e+01 3.841146596920045654e-03
5.100000000000000000e+01 4.440287274760246032e-03
5.300000000000000000e+01 4.904547995762032278e-03
5.500000000000000000e+01 5.707963390843019333e-03
5.700000000000000000e+01 6.303194504716888753e-03
5.900000000000000000e+01 7.065559478151402055e-03
6.100000000000000000e+01 7.860178354308144238e-03
6.300000000000000000e+01 8.676299832279705387e-03
6.500000000000000000e+01 9.335061360606451350e-03
6.700000000000000000e+01 1.023035150889621200e-02
6.900000000000000000e+01 1.083926609665224021e-02
7.100000000000000000e+01 1.180883796030228819e-02
7.300000000000000000e+01 1.250864991027550617e-02
7.500000000000000000e+01 1.312049667100628238e-02
7.700000000000000000e+01 1.396300770575057727e-02
7.900000000000000000e+01 1.439990147898804855e-02
8.100000000000000000e+01 1.506745952623903852e-02
8.300000000000000000e+01 1.527271163447140728e-02
8.500000000000000000e+01 1.566269064011290707e-02
8.700000000000000000e+01 1.582200537174088817e-02
8.900000000000000000e+01 1.592072186189074159e-02
9.100000000000000000e+01 1.594808880965506090e-02
9.300000000000000000e+01 1.579854798794290416e-02
9.500000000000000000e+01 1.549946634451859588e-02
9.700000000000000000e+01 1.530398814620205494e-02
9.900000000000000000e+01 1.477619701074739215e-02
1.010000000000000000e+02 1.435982844833315689e-02
1.030000000000000000e+02 1.374407212363605059e-02
1.050000000000000000e+02 1.322703228908879772e-02
1.070000000000000000e+02 1.246662209763745033e-02
1.090000000000000000e+02 1.190755445045214161e-02
1.110000000000000000e+02 1.098391996340648130e-02
1.130000000000000000e+02 1.020005238815714817e-02
1.150000000000000000e+02 9.421071767865730681e-03
1.170000000000000000e+02 8.505256408752732283e-03
1.190000000000000000e+02 7.874839219181884245e-03
1.210000000000000000e+02 7.287427233240676740e-03
1.230000000000000000e+02 6.390182302967750173e-03
1.250000000000000000e+02 5.705031217868271332e-03
1.270000000000000000e+02 5.047247080533108325e-03
1.290000000000000000e+02 4.568325494657581205e-03
1.310000000000000000e+02 4.029783058295508501e-03
1.330000000000000000e+02 3.373953702943510539e-03
1.350000000000000000e+02 3.003522517133664239e-03
1.370000000000000000e+02 2.591063518685760795e-03
1.390000000000000000e+02 2.309574913109940959e-03
1.410000000000000000e+02 2.011470660677214771e-03
1.430000000000000000e+02 1.725095100143481022e-03
1.450000000000000000e+02 1.513001254970033297e-03
1.470000000000000000e+02 1.372256952182123162e-03
1.490000000000000000e+02 1.203168310638314453e-03
1.510000000000000000e+02 1.061446616858821796e-03
1.530000000000000000e+02 9.246118780372425102e-04
1.550000000000000000e+02 8.307823428453024565e-04
1.570000000000000000e+02 7.281562887291180737e-04
1.590000000000000000e+02 6.959023860068886498e-04
1.610000000000000000e+02 6.186884976718546236e-04
1.630000000000000000e+02 5.727511210674673904e-04
1.650000000000000000e+02 4.847859318250235562e-04
1.670000000000000000e+02 4.935824507492678854e-04
1.690000000000000000e+02 4.241876903468956117e-04
1.710000000000000000e+02 3.342677191212864072e-04
1.730000000000000000e+02 3.010364254074742981e-04
1.750000000000000000e+02 2.247999280640230113e-04
1.770000000000000000e+02 1.260834379141694233e-04
1.790000000000000000e+02 4.593737660438731454e-05
