# Count	Angle
1.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 3.093485120336571259e-05
5.000000000000000000e+00 2.062323413557714285e-05
7.000000000000000000e+00 4.124646827115428571e-05
9.000000000000000000e+00 1.031161706778857143e-05
1.100000000000000000e+01 2.062323413557714285e-05
1.300000000000000000e+01 2.062323413557714285e-05
1.500000000000000000e+01 4.124646827115428571e-05
1.700000000000000000e+01 3.093485120336571259e-05
1.900000000000000000e+01 7.218131947451999152e-05
2.100000000000000000e+01 9.280455361009713776e-05
2.300000000000000000e+01 5.155808533894285205e-05
2.500000000000000000e+01 1.546742560168285494e-04
2.700000000000000000e+01 1.340510218812514167e-04
2.900000000000000000e+01 1.134277877456742705e-04
3.100000000000000000e+01 1.237394048134628504e-04
3.300000000000000000e+01 1.752974901524057092e-04
3.500000000000000000e+01 2.887252778980799661e-04
3.700000000000000000e+01 3.712182144403885511e-04
3.900000000000000000e+01 4.846460021860628351e-04
4.100000000000000000e+01 5.774505557961599322e-04
4.300000000000000000e+01 7.218131947451999694e-04
4.500000000000000000e+01 9.177339190331827842e-04
4.700000000000000000e+01 9.486687702365485374e-04
4.900000000000000000e+01 1.031161706778857068e-03
5.100000000000000000e+01 9.486687702365485374e-04
5.300000000000000000e+01 6.805667264740457040e-04
5.500000000000000000e+01 7.733712800841427469e-04
5.700000000000000000e+01 6.599434923384685714e-04
5.900000000000000000e+01 6.290086411351028181e-04
6.100000000000000000e+01 6.290086411351028181e-04
6.300000000000000000e+01 7.527480459485656143e-04
6.500000000000000000e+01 1.154901111592319864e-03
6.700000000000000000e+01 1.433314772422611318e-03
6.900000000000000000e+01 2.134504733032234047e-03
7.100000000000000000e+01 3.134731588607725470e-03
7.300000000000000000e+01 4.702097382911588422e-03
7.500000000000000000e+01 6.578811689249107822e-03
7.700000000000000000e+01 8.012126461671719574e-03
7.900000000000000000e+01 1.088906762358473126e-02
8.100000000000000000e+01 1.631297820124151879e-02
8.300000000000000000e+01 2.361360308523582571e-02
8.500000000000000000e+01 3.790550434119078355e-02
8.700000000000000000e+01 5.339355317700921616e-02
8.900000000000000000e+01 6.317927777434056980e-02
9.100000000000000000e+01 6.438573697127183970e-02
9.300000000000000000e+01 5.563117408071933945e-02
9.500000000000000000e+01 3.870981047247829682e-02
9.700000000000000000e+01 2.287116665635504850e-02
9.900000000000000000e+01 1.461156138505640377e-02
1.010000000000000000e+02 9.631050341314525629e-03
1.030000000000000000e+02 6.980964754892862723e-03
1.050000000000000000e+02 5.382664109385633909e-03
1.070000000000000000e+02 3.732805378539462426e-03
1.090000000000000000e+02 2.753201757099548244e-03
1.110000000000000000e+02 2.175751201303388529e-03
1.130000000000000000e+02 1.752974901524057038e-03
1.150000000000000000e+02 1.557054177236074114e-03
1.170000000000000000e+02 1.443626389490399939e-03
1.190000000000000000e+02 1.618923879642805621e-03
1.210000000000000000e+02 1.691105199117325531e-03
1.230000000000000000e+02 1.990142094083194226e-03
1.250000000000000000e+02 2.072635030625502757e-03
1.270000000000000000e+02 2.577904266947142562e-03
1.290000000000000000e+02 2.722266905896182816e-03
1.310000000000000000e+02 2.608839118150508424e-03
1.330000000000000000e+02 2.052011796489925516e-03
1.350000000000000000e+02 1.670481964981748507e-03
1.370000000000000000e+02 1.371445070015879812e-03
1.390000000000000000e+02 9.383571531687599169e-04
1.410000000000000000e+02 6.186970240673141976e-04
1.430000000000000000e+02 5.671389387283714200e-04
1.450000000000000000e+02 5.568273216605827995e-04
1.470000000000000000e+02 3.299717461692342857e-04
1.490000000000000000e+02 2.371671925591371344e-04
1.510000000000000000e+02 2.062323413557714082e-04
1.530000000000000000e+02 1.752974901524057092e-04
1.550000000000000000e+02 4.124646827115428571e-05
1.570000000000000000e+02 8.249293654230857142e-05
1.590000000000000000e+02 6.186970240673142518e-05
1.610000000000000000e+02 5.155808533894285205e-05
1.630000000000000000e+02 5.155808533894285205e-05
1.650000000000000000e+02 3.093485120336571259e-05
1.670000000000000000e+02 2.062323413557714285e-05
1.690000000000000000e+02 3.093485120336571259e-05
1.710000000000000000e+02 0.000000000000000000e+00
1.730000000000000000e+02 1.031161706778857143e-05
1.750000000000000000e+02 0.000000000000000000e+00
1.770000000000000000e+02 0.000000000000000000e+00
1.790000000000000000e+02 0.000000000000000000e+00
