# Count	Angle
1.000000000000000000e+00 3.402489040738100362e-04
3.000000000000000000e+00 9.805098086276393086e-04
5.000000000000000000e+00 1.566415597800382585e-03
7.000000000000000000e+00 2.076083043321732755e-03
9.000000000000000000e+00 2.504570771066136955e-03
1.100000000000000000e+01 2.925293482327528428e-03
1.300000000000000000e+01 3.181539026266933228e-03
1.500000000000000000e+01 3.384841276003981367e-03
1.700000000000000000e+01 3.674264617643529206e-03
1.900000000000000000e+01 3.754738424831110914e-03
2.100000000000000000e+01 3.989806651089573136e-03
2.300000000000000000e+01 4.055456335900494737e-03
2.500000000000000000e+01 4.149342444286006730e-03
2.700000000000000000e+01 4.236875357367235820e-03
2.900000000000000000e+01 4.271464976246108249e-03
3.100000000000000000e+01 4.415470736476518124e-03
3.300000000000000000e+01 4.531945983721702084e-03
3.500000000000000000e+01 4.561594228475021433e-03
3.700000000000000000e+01 4.655480336860533426e-03
3.900000000000000000e+01 4.827722520665532827e-03
4.100000000000000000e+01 4.799486097090942434e-03
4.300000000000000000e+01 5.023965664508933150e-03
4.500000000000000000e+01 5.046554803368605117e-03
4.700000000000000000e+01 5.316212648505940636e-03
4.900000000000000000e+01 5.396686455693521477e-03
5.100000000000000000e+01 5.693168903226717564e-03
5.300000000000000000e+01 5.817409166954913384e-03
5.500000000000000000e+01 5.999534099011018945e-03
5.700000000000000000e+01 6.283310155935649226e-03
5.900000000000000000e+01 6.433669111470341137e-03
6.100000000000000000e+01 6.696973761303392884e-03
6.300000000000000000e+01 7.020280811232449542e-03
6.500000000000000000e+01 7.287115014012325413e-03
6.700000000000000000e+01 7.743133254741954227e-03
6.900000000000000000e+01 7.724073668829106384e-03
7.100000000000000000e+01 8.073499410564658266e-03
7.300000000000000000e+01 8.413042404049103987e-03
7.500000000000000000e+01 8.571166376066807757e-03
7.700000000000000000e+01 8.907179816604429354e-03
7.900000000000000000e+01 8.998948193221846178e-03
8.100000000000000000e+01 9.378728090300082754e-03
8.300000000000000000e+01 9.366727610280881425e-03
8.500000000000000000e+01 9.463437361023853064e-03
8.700000000000000000e+01 9.579206697679672547e-03
8.900000000000000000e+01 9.702741050818503021e-03
9.100000000000000000e+01 9.542499347032704082e-03
9.300000000000000000e+01 9.613090405969179630e-03
9.500000000000000000e+01 9.453554612772746904e-03
9.700000000000000000e+01 9.368845342048976593e-03
9.900000000000000000e+01 9.293312908986947965e-03
1.010000000000000000e+02 9.281312428967746636e-03
1.030000000000000000e+02 8.858471985938261295e-03
1.050000000000000000e+02 8.547871326617771312e-03
1.070000000000000000e+02 8.424336973478939103e-03
1.090000000000000000e+02 8.115854045926542554e-03
1.110000000000000000e+02 7.685248586414044486e-03
1.130000000000000000e+02 7.409237545972426932e-03
1.150000000000000000e+02 7.125461489047797518e-03
1.170000000000000000e+02 7.047105413628310111e-03
1.190000000000000000e+02 6.721680631931160020e-03
1.210000000000000000e+02 6.261426927665341736e-03
1.230000000000000000e+02 6.285427887703743527e-03
1.250000000000000000e+02 5.934590324789461822e-03
1.270000000000000000e+02 5.827997825795384890e-03
1.290000000000000000e+02 5.506808507634423401e-03
1.310000000000000000e+02 5.350802267384813064e-03
1.330000000000000000e+02 5.175030530632990407e-03
1.350000000000000000e+02 5.050084356315429242e-03
1.370000000000000000e+02 4.924432271408503599e-03
1.390000000000000000e+02 4.836899358327274509e-03
1.410000000000000000e+02 4.735248233458749789e-03
1.430000000000000000e+02 4.593360204996435082e-03
1.450000000000000000e+02 4.563711960243115734e-03
1.470000000000000000e+02 4.458531282427767757e-03
1.490000000000000000e+02 4.375233832882727270e-03
1.510000000000000000e+02 4.255229032690719185e-03
1.530000000000000000e+02 4.188167526701067761e-03
1.550000000000000000e+02 4.135224232498711967e-03
1.570000000000000000e+02 4.082280938296355306e-03
1.590000000000000000e+02 3.872625493255024264e-03
1.610000000000000000e+02 3.761797530724758296e-03
1.630000000000000000e+02 3.534494320949308366e-03
1.650000000000000000e+02 3.408136325453018246e-03
1.670000000000000000e+02 3.195657238054227991e-03
1.690000000000000000e+02 2.882938846965643273e-03
1.710000000000000000e+02 2.516571251085337416e-03
1.730000000000000000e+02 2.105025377485687625e-03
1.750000000000000000e+02 1.582651541355771865e-03
1.770000000000000000e+02 9.543911168211434339e-04
1.790000000000000000e+02 3.374252617163509861e-04
