# Count	Angle
1.000000000000000000e+00 4.051863857374391891e-05
3.000000000000000000e+00 4.051863857374391891e-05
5.000000000000000000e+00 8.103727714748783781e-05
7.000000000000000000e+00 1.823338735818476385e-04
9.000000000000000000e+00 2.228525121555915642e-04
1.100000000000000000e+01 3.646677471636952769e-04
1.300000000000000000e+01 1.823338735818476385e-04
1.500000000000000000e+01 3.646677471636952769e-04
1.700000000000000000e+01 1.620745542949756756e-04
1.900000000000000000e+01 3.241491085899513513e-04
2.100000000000000000e+01 3.444084278768233141e-04
2.300000000000000000e+01 2.228525121555915642e-04
2.500000000000000000e+01 3.849270664505672398e-04
2.700000000000000000e+01 4.051863857374392026e-04
2.900000000000000000e+01 5.267423014586710339e-04
3.100000000000000000e+01 8.306320907617504223e-04
3.300000000000000000e+01 7.090761750405186453e-04
3.500000000000000000e+01 9.521880064829821994e-04
3.700000000000000000e+01 1.296596434359805405e-03
3.900000000000000000e+01 1.357374392220421456e-03
4.100000000000000000e+01 1.458670988654781108e-03
4.300000000000000000e+01 1.316855753646677422e-03
4.500000000000000000e+01 1.722042139384116679e-03
4.700000000000000000e+01 1.276337115072933605e-03
4.900000000000000000e+01 1.377633711507293256e-03
5.100000000000000000e+01 1.033225283630470051e-03
5.300000000000000000e+01 8.306320907617504223e-04
5.500000000000000000e+01 1.215559157212317771e-03
5.700000000000000000e+01 1.154781199351701719e-03
5.900000000000000000e+01 1.944894651539708216e-03
6.100000000000000000e+01 2.714748784440842912e-03
6.300000000000000000e+01 4.558346839546190826e-03
6.500000000000000000e+01 6.665316045380875395e-03
6.700000000000000000e+01 1.004862236628849270e-02
6.900000000000000000e+01 1.335089141004862194e-02
7.100000000000000000e+01 1.440437601296596509e-02
7.300000000000000000e+01 1.215559157212317727e-02
7.500000000000000000e+01 1.100081037277147490e-02
7.700000000000000000e+01 8.569692058346839794e-03
7.900000000000000000e+01 6.989465153970826801e-03
8.100000000000000000e+01 7.394651539708265407e-03
8.300000000000000000e+01 9.339546191247974707e-03
8.500000000000000000e+01 1.869935170178281883e-02
8.700000000000000000e+01 4.211912479740680809e-02
8.900000000000000000e+01 6.357374392220421777e-02
9.100000000000000000e+01 6.102106969205834536e-02
9.300000000000000000e+01 3.962722852512155780e-02
9.500000000000000000e+01 1.797001620745542969e-02
9.700000000000000000e+01 1.185170178282009788e-02
9.900000000000000000e+01 8.367098865478119624e-03
1.010000000000000000e+02 7.313614262560778206e-03
1.030000000000000000e+02 7.597244732576985578e-03
1.050000000000000000e+02 9.663695299837925246e-03
1.070000000000000000e+02 1.053484602917341938e-02
1.090000000000000000e+02 1.132495948136142544e-02
1.110000000000000000e+02 1.203403565640194517e-02
1.130000000000000000e+02 9.501620745542949109e-03
1.150000000000000000e+02 7.273095623987034172e-03
1.170000000000000000e+02 5.692868719611021179e-03
1.190000000000000000e+02 3.423824959481361341e-03
1.210000000000000000e+02 2.370340356564019490e-03
1.230000000000000000e+02 1.701782820097244662e-03
1.250000000000000000e+02 1.397893030794165273e-03
1.270000000000000000e+02 1.012965964343598034e-03
1.290000000000000000e+02 9.521880064829821994e-04
1.310000000000000000e+02 8.508914100486223309e-04
1.330000000000000000e+02 1.195299837925445753e-03
1.350000000000000000e+02 1.397893030794165273e-03
1.370000000000000000e+02 1.478930307941653125e-03
1.390000000000000000e+02 1.418152350081037291e-03
1.410000000000000000e+02 1.418152350081037291e-03
1.430000000000000000e+02 1.641004862236628828e-03
1.450000000000000000e+02 1.094003241491085885e-03
1.470000000000000000e+02 9.521880064829821994e-04
1.490000000000000000e+02 7.901134521880064966e-04
1.510000000000000000e+02 6.482982171799027025e-04
1.530000000000000000e+02 4.659643435980550912e-04
1.550000000000000000e+02 3.444084278768233141e-04
1.570000000000000000e+02 1.620745542949756756e-04
1.590000000000000000e+02 3.849270664505672398e-04
1.610000000000000000e+02 1.215559157212317635e-04
1.630000000000000000e+02 2.228525121555915642e-04
1.650000000000000000e+02 1.823338735818476385e-04
1.670000000000000000e+02 2.431118314424635270e-04
1.690000000000000000e+02 1.418152350081037399e-04
1.710000000000000000e+02 1.620745542949756756e-04
1.730000000000000000e+02 6.077795786061588175e-05
1.750000000000000000e+02 4.051863857374391891e-05
1.770000000000000000e+02 2.025931928687195945e-05
1.790000000000000000e+02 2.025931928687195945e-05
