# Count	Angle
1.000000000000000000e+00 2.241013959531259331e-04
3.000000000000000000e+00 5.942942082554415230e-04
5.000000000000000000e+00 8.992423103435559419e-04
7.000000000000000000e+00 1.290710571628763239e-03
9.000000000000000000e+00 1.537505779830307092e-03
1.100000000000000000e+01 1.798484620687111884e-03
1.300000000000000000e+01 2.039606375826551101e-03
1.500000000000000000e+01 2.168677432989427663e-03
1.700000000000000000e+01 2.282146494231516477e-03
1.900000000000000000e+01 2.395615555473605725e-03
2.100000000000000000e+01 2.395615555473605725e-03
2.300000000000000000e+01 2.516176433043325333e-03
2.500000000000000000e+01 2.635318947347518783e-03
2.700000000000000000e+01 2.750206371855134189e-03
2.900000000000000000e+01 2.968634314746155731e-03
3.100000000000000000e+01 2.826797988193544171e-03
3.300000000000000000e+01 2.913318147390637266e-03
3.500000000000000000e+01 2.836726531052226850e-03
3.700000000000000000e+01 3.140256269874815327e-03
3.900000000000000000e+01 3.117562457626397651e-03
4.100000000000000000e+01 3.179970441309546477e-03
4.300000000000000000e+01 3.345918943376101871e-03
4.500000000000000000e+01 3.362939302562414912e-03
4.700000000000000000e+01 3.448041098493981847e-03
4.900000000000000000e+01 3.734550478130256850e-03
5.100000000000000000e+01 3.829580816920506465e-03
5.300000000000000000e+01 3.982764049597326862e-03
5.500000000000000000e+01 4.099069837370467560e-03
5.700000000000000000e+01 4.588405163976977223e-03
5.900000000000000000e+01 4.867822727285621431e-03
6.100000000000000000e+01 5.073485400786907976e-03
6.300000000000000000e+01 5.603953262093674080e-03
6.500000000000000000e+01 5.859258649888374887e-03
6.700000000000000000e+01 6.666307347972733749e-03
6.900000000000000000e+01 7.710222711399952918e-03
7.100000000000000000e+01 8.938525299345566680e-03
7.300000000000000000e+01 9.928542858682793543e-03
7.500000000000000000e+01 1.159228296914492466e-02
7.700000000000000000e+01 1.289150372036684464e-02
7.900000000000000000e+01 1.387726618990749519e-02
8.100000000000000000e+01 1.505876279009074614e-02
8.300000000000000000e+01 1.498642626354891594e-02
8.500000000000000000e+01 1.546725141056226778e-02
8.700000000000000000e+01 1.578921987183669676e-02
8.900000000000000000e+01 1.600622945146219084e-02
9.100000000000000000e+01 1.594665819431009476e-02
9.300000000000000000e+01 1.569418953304644454e-02
9.500000000000000000e+01 1.541477196973780120e-02
9.700000000000000000e+01 1.548427176974858169e-02
9.900000000000000000e+01 1.469282506758501014e-02
1.010000000000000000e+02 1.386308255725223273e-02
1.030000000000000000e+02 1.323332926735863897e-02
1.050000000000000000e+02 1.167171131201438783e-02
1.070000000000000000e+02 1.017533806688433740e-02
1.090000000000000000e+02 8.988168013638981810e-03
1.110000000000000000e+02 7.944252650211761774e-03
1.130000000000000000e+02 6.839347666366919071e-03
1.150000000000000000e+02 6.311716531591205284e-03
1.170000000000000000e+02 5.727350866194446007e-03
1.190000000000000000e+02 5.456443482478958752e-03
1.210000000000000000e+02 4.830945282381942166e-03
1.230000000000000000e+02 4.847965641568256073e-03
1.250000000000000000e+02 4.508976821107514923e-03
1.270000000000000000e+02 4.196936902691769493e-03
1.290000000000000000e+02 3.937376425100490643e-03
1.310000000000000000e+02 3.887733710807077248e-03
1.330000000000000000e+02 3.724621935271574171e-03
1.350000000000000000e+02 3.565765249532649138e-03
1.370000000000000000e+02 3.545908163815283780e-03
1.390000000000000000e+02 3.337408763782944918e-03
1.410000000000000000e+02 3.123235910688501853e-03
1.430000000000000000e+02 3.248051878054799939e-03
1.450000000000000000e+02 3.077848286191666068e-03
1.470000000000000000e+02 2.981399584135890728e-03
1.490000000000000000e+02 2.914736510656163425e-03
1.510000000000000000e+02 2.791338906555391498e-03
1.530000000000000000e+02 2.764390004510395345e-03
1.550000000000000000e+02 2.789920543289865339e-03
1.570000000000000000e+02 2.662267849392514936e-03
1.590000000000000000e+02 2.601278228974892269e-03
1.610000000000000000e+02 2.475043898343068025e-03
1.630000000000000000e+02 2.377176833021766092e-03
1.650000000000000000e+02 2.215483420751789174e-03
1.670000000000000000e+02 2.084994000323386887e-03
1.690000000000000000e+02 2.033932922764446899e-03
1.710000000000000000e+02 1.682178832913970535e-03
1.730000000000000000e+02 1.300639114487446134e-03
1.750000000000000000e+02 1.062354085879059018e-03
1.770000000000000000e+02 5.730187592725498975e-04
1.790000000000000000e+02 1.943157673770775436e-04
